countyid	pmccain	medinc	pcollege	punemp	passist	pblack	phisp	ginicnty	logodds
2198	.704	47285	.0966102	.0264742	.0100789	.0694758	.1800221	.4633	.8664189
2199	.708	35967	.0788382	.0469256	.0124465	.0253573	.5188259	.4147	.8856903
2200	.509	82571	.168466	.0507529	.0092033	.2126129	.2371664	.4204	.0360039
2201	.755	47500	.0879338	.0781546	.0131441	.0494686	.1234835	.4923	1.12546
2202	.405	37769	.0393212	.0952171	.0297155	.032124	.7671738	.4421	-.3846743
2203	.593	59645	.1174523	.0774907	.0133338	.1385979	.2207016	.454	.3763812
2204	.775	42883	.0476341	.0240492	.0079706	.0427283	.6008862	.4573	1.236763
2205	.775	54843	.1207389	.038449	.0129123	.0022427	.1943402	.4207	1.236763
2206	.629	51389	.0923762	.0311419	.003399	.040345	.3358375	.4603	.5279292
2207	.648	38623	.057198	.0981409	.0142756	.081022	.4621558	.443	.6102595
2208	.851	42845	.0632402	.0811315	.008802	.0501149	.227108	.4548	1.742466
2209	.683	46993	.0916806	.0791033	.0156284	.0554569	.1094882	.4324	.7675932
2210	.685	44608	.0918842	.0680667	.0157651	.2007654	.157536	.4635	.7768462
2211	.668	40509	.0511812	.0730153	.0219376	.1659422	.2076734	.4707	.6991531
2212	.649	61608	.1002596	.061143	.0130179	.059326	.3552734	.3918	.6146464
2213	.721	39335	.0584081	.0659398	.0161442	.0483826	.550709	.4302	.9494274
2214	.761	40757	.1184784	.0596932	.0095899	.0060064	.097515	.4479	1.15817
2215	.752	36568	.0829945	.1357542	.0070922	.0825161	.1887108	.4177	1.109307
2216	.802	54588	.0741886	.0681646	.0192041	.060166	.0439389	.4258	1.398842
2217	.488	52675	.113233	.0764577	.0158428	.1856701	.4027081	.4911	-.0480092
2218	.654	45357	.080632	.0659315	.0106306	.2294035	.1057401	.4462	.6366685
2219	.656	39578	.0682321	.107487	.009827	.0449209	.2317509	.4735	.6455192
2220	.502	58247	.1407474	.0701209	.0097502	.0334234	.3480275	.4533	.0079999
2221	.857	54360	.0899415	.0086426	.0127146	.0010644	.2440128	.4573	1.790593
2222	.719	41242	.0655025	.0828162	.0127979	.0646223	.1054928	.4535	.9395066
